,Document-Preprocessed,Document,Sentiment
0,"[[u'yet', u'another', u'suppose', u'true', u'story', u'haunting', u'movie', u'based', u'on', u'nothing', u'but', u'fabricated', u'events', u'for', u'financial', u'gain'], [u'this', u'true', u'story', u'about', u'a', u'family', u'who', u'moves', u'into', u'a', u'haunted', u'house', u'that', u'belonged', u'to', u'a', u'mortician', u'with', u'a', u'teenage', u'boy', u'with', u'a', u'cancer', u'subplot', u'added', u'no', u'doubt', u'for', u'an', u'emotional', u'tone', u'to', u'the', u'movie'], [u'sob', u'sob', u'sob'], [u'is', u'a', u'weak', u'cross', u'between', u'a', u'nightmare', u'on', u'elm', u'street', u'and', u'zombie', u'movie', u'imitation', u'with', u'its', u'haunted', u'dream', u'sequences', u'and', u'lurking', u'zombie', u'with', u'didgets', u'carved', u'all', u'over', u'their', u'skin', u'like', u'creatures'], [u'this', u'true', u'story', u'is', u'about', u'as', u'frightening', u'as', u'a', u'haunted', u'toilet'], [u'how', u'on', u'earth', u'do', u'they', u'expect', u'intelligent', u'people', u'to', u'to', u'believe', u'that', u'this', u'eventless', u'drivel', u'is', u'based', u'on', u'factual', u'events'], [u'warning'], [u'if', u'you', u'are', u'looking', u'for', u'a', u'good', u'haunted', u'house', u'movie', u'do', u'not', u'hire', u'or', u'purchase', u'this', u'crap'], [u'a', u'total', u'waste', u'of', u'time', u'and', u'money']]","yet another suppose true story haunting movie , based on nothing but fabricated events , for financial gain. this true story about a family who moves into a haunted house, that belonged to a mortician(with a teenage boy with a cancer subplot added no doubt for an emotional tone to the movie. sob sob sob.) is a weak cross  between  a nightmare on elm street and zombie movie imitation, with its haunted dream sequences and lurking zombie(with didgets carved all over their skin) like creatures. this true story is about as frightening as a haunted toilet. how on earth do they expect intelligent people to to believe that this eventless drivel is based on factual events. warning!!! if you are looking for a good haunted house movie , do not hire or purchase this crap. a total waste of time and money.",-1
1,"[[u'Oh', u'dear', u'this', u'is', u'my', u'first', u'negative', u'review'], [u'This', u'film', u'is', u'SO', u'stereotypical', u'and', u'boring', u'that', u'I', u'could', u'hardly', u'believe', u'it'], [u'I', u'won', u't', u'give', u'the', u'plot', u'etc', u'away', u'as', u'most', u'reviewers', u'are', u'fond', u'of', u'doing', u'but', u'will', u'just', u'say', u'why', u'it', u'is', u'so', u'bad'], [u'Every', u'so', u'called', u'scary', u'moment', u'is', u'entirely', u'predictable', u'and', u'the', u'same', u'eg', u'boy', u'looks', u'through', u'darkened', u'glass', u'and', u'BOOM', u'face', u'appears', u'only', u'to', u'disappear', u'when', u'he', u'looks', u'again'], [u'Cupboard', u'door', u'swings', u'open', u'and', u'BOOM', u'there', u'is', u'a', u'figure', u'in', u'the', u'mirror', u'which', u'is', u'gone', u'in', u'the', u'next', u'shot'], [u'Mother', u'is', u'washing', u'the', u'floor', u'and', u'BOOM', u'she', u'is', u'mopping', u'it', u'with', u'blood', u'yawn', u'which', u'again', u'is', u'gone', u'in', u'the', u'next', u'shot'], [u'This', u'is', u'done', u'with', u'the', u'usual', u'boom', u'music', u'and', u'happens', u'SO', u'many', u'times', u'it', u'is', u'ludicrous'], [u'This', u'is', u'also', u'the', u'only', u'scare', u'tactic', u'employed', u'in', u'the', u'film'], [u'There', u'is', u'no', u'suspense', u'in', u'the', u'film', u'at', u'all', u'for', u'that', u'you', u'need', u'a', u'film', u'like', u'The', u'Others', u'or', u'The', u'Village', u'which', u'I', u'wouldn', u't', u'really', u'class', u'as', u'horror', u'it', u's', u'far', u'far', u'more', u'than', u'that'], [u'The', u'Haunting', u'in', u'Connecticut', u'could', u'be', u'seen', u'as', u'the', u'anti', u'Others', u'br', u'The', u'rest', u'is', u'all', u'stereotyped', u'too', u'big', u'house', u'very', u'big', u'house', u'why', u'they', u'need', u'this', u'for', u'a', u'few', u'people', u'I', u'can', u't', u'imagine'], [u'Ghosts', u'mooching', u'about', u'being', u'totally', u'indirect', u'as', u'usual'], [u'Appear', u'boom', u'disappear', u'appear', u'boom', u'disappear'], [u'One', u'dimensional', u'family', u'and', u'so', u'on', u'Basically', u'if', u'it', u's', u'predicatable', u'it', u's', u'here'], [u'Now', u'I', u'can', u'sit', u'through', u'most', u'horrors', u'and', u'even', u'enjoy', u'the', u'b', u'grade', u'ones', u'but', u'this', u'one', u'is', u'so', u'below', u'par', u'that', u'even', u'I', u'nearly', u'turned', u'it', u'off', u'br', u'As', u'an', u'aside', u'the', u'most', u'chilling', u'horrors', u'and', u'I', u'mean', u'horrors', u'here', u'I', u'have', u'seen', u'of', u'late', u'were', u'both', u'French', u'and', u'I', u'highly', u'recommend', u'them', u'Martyrs', u'Frontier', u's'], [u'Now', u'these', u'are', u'A', u'horror', u'especailly', u'Martyrs', u'which', u'actually', u'challenges', u'you', u'to', u'think', u'on', u'quite', u'a', u'deep', u'level'], [u'A', u'couple', u'of', u'other', u'excellent', u'ones', u'are', u'Rec'], [u'Spanish', u'version', u'I', u've', u'not', u'watched', u'the', u'US', u'version', u'but', u'it', u'looks', u'like', u'it', u'has', u'been', u'shot', u'scene', u'for', u'scene', u'and', u'so', u'it', u's', u'probably', u'best', u'to', u'stick', u'to', u'the', u'original', u'Wind', u'Chill', u'Emily', u'Blunt']]","Oh dear... this is my first negative review... This film is SO stereotypical and boring that I could hardly believe it. I won't give the plot etc away, as most reviewers are fond of doing, but will just say why it is so bad. Every so-called scary moment is entirely predictable and the same eg boy looks through darkened glass and BOOM face appears only to disappear when he looks again. Cupboard door swings open and BOOM there is a figure in the mirror which is gone in the next shot. Mother is washing the floor and BOOM she is mopping it with blood (yawn) which, again, is gone in the next shot. This is done with the usual 'boom' music and happens SO many times it is ludicrous. This is also the only scare tactic employed in the film. There is no suspense in the film at all - for that you need a film like 'The Others' or 'The Village' (which I wouldn't really class as horror - it's far, far more than that). The Haunting in Connecticut could be seen as the 'anti-Others'.<br />The rest is all stereotyped too - big house - very big house - why they need this for a few people I can't imagine. Ghosts mooching about - being totally indirect as usual. Appear (boom), disappear, appear (boom), disappear. One-dimensional family and so on... Basically, if it's predicatable, it's here. Now, I can sit through most horrors and even enjoy the b-grade ones but this one is so below par that even I nearly turned it off.<br />As an aside, the most chilling horrors - and I mean horrors here - I have seen of late were both French and I highly recommend them - Martyrs & Frontier(s). Now these are A+++ horror, especailly Martyrs, which actually challenges you to think on quite a deep level. A couple of other excellent ones are Rec. (Spanish version - I've not watched the US version but it looks like it has been shot scene-for-scene and so it's probably best to stick to the original) & Wind Chill (Emily Blunt).",-1
2,"[[u'My', u'friend', u'treated', u'me', u'to', u'this', u'movie', u'in', u'the', u'theatre'], [u'It', u's', u'one', u'of', u'the', u'very', u'bad', u'movies', u'I', u've', u'ever', u'seen', u'br', u'br', u'There', u'are', u'no', u'horror', u'and', u'no', u'suspense'], [u'It', u's', u'more', u'like', u'a', u'drama'], [u'However', u'there', u's', u'no', u'dramatic', u'moments', u'at', u'all']]","My friend treated me to this movie in the theatre. It's one of the very bad movies I've ever seen.<br /><br />There are no horror, and no suspense. It's more like a drama. However, there's no dramatic moments at all.",-1
3,"[[u'The', u'most', u'frightening', u'scene', u'in', u'this', u'travesty', u'was', u'the', u'drunken', u'rampage', u'perpetrated', u'by', u'the', u'father', u'Martin', u'Donovan', u'actually', u'very', u'good', u'upon', u'his', u'family', u'one', u'night', u'when', u'the', u'stress', u'of', u'paying', u'for', u'his', u'son', u's', u'medical', u'care', u'became', u'too', u'much', u'to', u'bear', u'while', u'sober'], [u'Other', u'than', u'that', u'this', u'film', u'is', u'a', u'snooze'], [u'The', u'entities', u'that', u'were', u'intended', u'to', u'be', u'horrifying', u'did', u'not', u'even', u'raise', u'my', u'eyebrows'], [u'They', u'looked', u'menacing', u'the', u'history', u'sounded', u'menacing', u'but', u'it', u'just', u'didn', u't', u'menace', u'me'], [u'The', u'house', u'was', u'creepy', u'enough', u'on', u'its', u'own', u'it', u'did', u'not', u'need', u'the', u'ridiculous', u'backstory', u'created', u'by', u'Hollywood'], [u'What', u'a', u'waste', u'of', u'talented', u'actors', u'Virginia', u'Madsen', u'Elias', u'Koteas'], [u'Watch', u'the', u'documentary', u'instead', u'it', u'is', u'truly', u'chilling', u'and', u'much', u'more', u'believable', u'than', u'this', u'tripe']]","The most frightening scene in this travesty was the drunken rampage perpetrated by the father (Martin Donovan, actually very good) upon his family one night when the stress of paying for his son's medical care became too much to bear while sober. Other than that, this film is a snooze. The entities that were intended to be horrifying did not even raise my eyebrows. They looked menacing, the history sounded menacing, but it just didn't menace me! The house was creepy enough on its own, it did not need the ridiculous backstory created by Hollywood. What a waste of talented actors (Virginia Madsen, Elias Koteas). Watch the documentary instead - it is truly chilling and much more believable than this tripe.",-1
4,"[[u'I', u'could', u'go', u'on', u'at', u'length', u'about', u'how', u'terrible', u'this', u'movie', u'is', u'pages', u'really', u'I', u'could', u'write', u'a', u'small', u'book', u'br', u'br', u'Wooden', u'acting', u'shallow', u'characters', u'ridiculous', u'logic', u'jumps', u'a', u'terrible', u'multra', u'rehashed', u'plotline'], [u'It', u'simply', u'boggles', u'the', u'mind', u'that', u'this', u'was', u'even', u'released', u'br', u'br', u'But', u'where', u'the', u'movie', u'really', u'fails', u'is', u'that', u'it', u's', u'just', u'not', u'scary'], [u'Yes', u'there', u'are', u'plenty', u'of', u'jump', u'and', u'boo', u'scenes', u'and', u'they', u'WILL', u'startle', u'you', u'but', u'that', u's', u'the', u'cheap', u'lazy', u'way', u'to', u'scare', u'someone'], [u'There', u'is', u'no', u'tension', u'there', u'is', u'no', u'dread'], [u'The', u'producers', u'had', u'an', u'AMAZINGLY', u'frightful', u'story', u'in', u'the', u'book', u'by', u'Ray', u'Garton', u'even', u'though', u'he', u'himself', u'admits', u'that', u'the', u'Snedeckers', u'the', u'family', u'the', u'story', u'is', u'based', u'on', u'never', u'could', u'get', u'their', u'story', u'straight', u'and', u'he', u'was', u'told', u'to', u'make', u'up', u'everything', u'in', u'the', u'book', u'yet', u'they', u'throw', u'it', u'aside', u'for', u'some', u'run', u'of', u'the', u'mill', u'crap', u'plot', u'that', u'explains', u'everything', u'FAR', u'too', u'well', u'and', u'throws', u'in', u'deus', u'ex', u'machina', u'like', u'it', u's', u'going', u'out', u'of', u'style', u'br', u'br', u'The', u'ghosts', u'are', u'over', u'lit', u'gory', u'and', u'predictable'], [u'No', u'matter', u'how', u'much', u'blood', u'you', u'coat', u'on', u'someone', u'no', u'matter', u'how', u'many', u'maggots', u'you', u'cover', u'them', u'with', u'you', u're', u'still', u'left', u'with', u'a', u'disgusting', u'thing', u'NOT', u'a', u'scary', u'one', u'br', u'br', u'When', u'will', u'film', u'makers', u'learn', u'that', u'a', u'skinless', u'shambling', u'larva', u'infested', u'corpse', u'simply', u'can', u'not', u'compare', u'with', u'the', u'fright', u'delivered', u'from', u'a', u'shapeless', u'black', u'form', u'gliding', u'down', u'a', u'hallway']]","I could go on at length about how terrible this movie is; pages, really, I could write a small book.<br /><br />Wooden acting, shallow characters, ridiculous logic jumps, a terrible, multra-rehashed plotline... It simply boggles the mind that this was even released.<br /><br />But where the movie really fails is that it's just not scary. Yes, there are plenty of jump-and-boo scenes and they WILL startle you but that's the cheap, lazy way to scare someone. There is no tension, there is no dread. The producers had an AMAZINGLY frightful story in the book by Ray Garton (even though he himself admits that the Snedeckers, the family the story is based on, never could get their story straight and he was told to make up everything in the book) yet they throw it aside for some run-of-the-mill crap plot that explains everything FAR too well and throws in deus ex machina like it's going out of style.<br /><br />The ghosts are over-lit, gory and predictable. No matter how much blood you coat on someone, no matter how many maggots you cover them with, you're still left with a disgusting thing NOT a scary one.<br /><br />When will film makers learn that a skinless, shambling, larva infested corpse simply cannot compare with the fright delivered from a shapeless black form gliding down a hallway?",-1
5,"[[u'This', u'was', u'quite', u'possibly', u'the', u'most', u'boring', u'horror', u'film', u'so', u'far', u'this', u'year'], [u'Since', u'it', u'was', u'PG', u'I', u'went', u'in', u'not', u'expecting', u'much', u'but', u'was', u'disappointed', u'by', u'even', u'that'], [u'This', u'is', u'just', u'your', u'typical', u'haunted', u'house', u'movie', u'br', u'br', u'Ohh', u'we', u're', u'a', u'happy', u'family', u'br', u'Wow', u'that', u'was', u'weird', u'br', u'It', u'turns', u'out', u'that', u'weird', u'religious', u'things', u'happened', u'in', u'the', u'house', u'br', u'The', u'good', u'guys', u'live']]","This was quite possibly the most boring horror film so far this year. Since it was PG-13 I went in not expecting much, but was disappointed by even that. This is just your typical haunted house movie.<br /><br />Ohh we're a happy family!<br />Wow that was weird.<br />It turns out that weird religious things happened in the house.<br />The good guys live.",-1
6,"[[u'What', u'we', u'have', u'here', u'is', u'a', u'very', u'unoriginal', u'plot'], [u'We', u've', u'all', u'seen', u'it', u'before'], [u'Family', u'moves', u'into', u'strange', u'house'], [u'A', u'ghost', u'of', u'the', u'past', u'tries', u'to', u'communicate', u'of', u'course', u'scaring', u'the', u'crap', u'out', u'of', u'people', u'in', u'doing', u'so'], [u'Eventually', u'spirits', u'are', u'freed', u'happy', u'ending', u'br', u'br', u'z', u'zz', u'z', u'zzzz', u'br', u'br', u'Movie', u'and', u'acting', u'was', u'laughable'], [u'The', u'family', u'is', u'just', u'plain', u'stupid', u'for', u'even', u'renting', u'a', u'creepy', u'old', u'house', u'they', u'couldn', u't', u'afford'], [u'Why', u'would', u'the', u'mother', u'let', u'her', u'sick', u'son', u'stay', u'in', u'the', u'cold', u'basement', u'while', u'she', u'slept', u'on', u'the', u'nd', u'floor', u'of', u'the', u'house'], [u'Scares', u'consist', u'of', u'everything', u'going', u'quiet', u'and', u'then', u'a', u'LOUD', u'noise'], [u'After', u'the', u'family', u'sees', u'the', u'ghosts', u'they', u'still', u'go', u'about', u'their', u'regular', u'activities', u'of', u'showering', u'and', u'sleeping', u'alone', u'in', u'their', u'rooms'], [u'Whatever', u'just', u'dumb', u'dummmmmmmmb', u'and', u'boring']]","What we have here is a very unoriginal plot.  We've all seen it before.  Family moves into strange house.  A ghost of the past tries to communicate, of course scaring the crap out of people in doing so.  Eventually, spirits are freed, happy ending.<br /><br />z zz z zzzz<br /><br />Movie and acting was laughable.  The family is just plain stupid for even renting a creepy old house they couldn't afford.  Why would the mother let her sick son stay in the cold basement while she slept on the 2nd floor of the house? Scares consist of everything going quiet, and then a LOUD noise.  After the family sees the ghosts, they still go about their regular activities of showering and sleeping alone in their rooms.  Whatever, just dumb, dummmmmmmmb and boring.",-1
7,"[[u'I', u'had', u'such', u'high', u'hopes', u'for', u'this', u'film'], [u'Oh', u'well'], [u'I', u'gave', u'one', u'star', u'for', u'the', u'audio', u'department', u'it', u'was', u'the', u'only', u'part', u'of', u'the', u'film', u'that', u'was', u'good'], [u'This', u'was', u'so', u'bad', u'I', u'wish', u'no', u'one', u'told', u'these', u'writers', u'that', u'the', u'strike', u'was', u'over'], [u'I', u'have', u'a', u'good', u'feeling', u'at', u'least', u'one', u'of', u'them', u'are', u'calling', u'someone', u'babe', u'on', u'thier', u'cell', u'right', u'now', u'the', u'film', u'is', u'so', u'hollywood'], [u'The', u'film', u'does', u'have', u'some', u'good', u'actors', u'who', u'are', u'at', u'this', u'moment', u'still', u'kicking', u'thier', u'agents'], [u'If', u'you', u'are', u'intrested', u'buy', u'or', u'watch', u'the', u'Haunting', u'episode', u'on', u'discovery', u'that', u'deals', u'with', u'this', u'story', u'it', u'was', u'far', u'better', u'than', u'this', u'joke'], [u'Somewhere', u'on', u'the', u'studio', u'lot', u'an', u'exec'], [u'is', u'picking', u'up', u'trash', u'to', u'make', u'up', u'for', u'authorizing', u'the', u'millions', u'spent', u'to', u'make', u'this', u'career', u'killer']]","I had such high hopes for this film. Oh well. I gave one star for the audio department, it was the only part of the film that was good. This was so bad I wish no one told these writers that the strike was over. I have a good feeling at least one of them are calling someone babe on thier cell right now (the film is so hollywood). The film does have some good actors who are at this moment still kicking thier agents. If you are intrested buy or watch the Haunting episode on discovery that deals with this story, it was far better than this joke. Somewhere on the studio lot an exec. is picking up trash to make up for authorizing the millions spent to make this career killer.",-1
8,"[[u'Leave', u'it', u'to', u'Hollywood', u'to', u'take', u'a', u'really', u'good', u'creepy', u'ghost', u'story', u'and', u'mess', u'it', u'up', u'with', u'bad', u'acting', u'and', u'unbelievable', u'events'], [u'Add', u'some', u'lame', u'CG', u'and', u'you', u'have', u'this', u'movie'], [u'Looking', u'at', u'the', u'stupid', u'looking', u'cover', u'of', u'ectoplasm', u'coming', u'out', u'of', u'the', u'kids', u'mouth', u'has', u'dumb', u'written', u'all', u'over', u'it', u'br', u'br', u'The', u'original', u'documentary', u'with', u'the', u'black', u'eyed', u'demon', u'was', u'really', u'creepy', u'when', u'I', u'watched', u'it', u'late', u'one', u'night', u'years', u'ago'], [u'If', u'they', u'would', u'have', u'just', u'stuck', u'to', u'the', u'original', u'story', u'and', u'got', u'some', u'better', u'Actors', u'and', u'Director', u'this', u'could', u'have', u'been', u'a', u'really', u'good', u'creepfest'], [u'Why', u'on', u'earth', u'would', u'you', u'add', u'what', u'they', u'did', u'and', u'take', u'away', u'what', u'was', u'scary', u'and', u'creepy', u'from', u'the', u'documentary'], [u'I', u'don', u't', u'get', u'it', u'br', u'br', u'Save', u'your', u'time', u'and', u'money', u'and', u'if', u'you', u'want', u'to', u'see', u'the', u'really', u'creepy', u'version', u'of', u'this', u'movie', u'get', u'the', u'documentary'], [u'I', u'almost', u'came', u'close', u'to', u'walking', u'out', u'on', u'this', u'one', u'when', u'the', u'CG', u'came', u'out', u'of', u'the', u'guys', u'mouth', u'but', u'I', u'wanted', u'to', u'see', u'how', u'they', u'would', u'end', u'it'], [u'I', u'should', u'have', u'left', u'then', u'and', u'saved', u'myself', u'some', u'time'], [u'This', u'movie', u'is', u'such', u'a', u'waste', u'to', u'watch']]","Leave it to Hollywood to take a really good creepy ghost story and mess it up with bad acting and unbelievable events. Add some lame CG and you have this movie. Looking at the stupid looking cover of ectoplasm coming out of the kids mouth has dumb written all over it.<br /><br />The original documentary with the black eyed demon was really creepy when I watched it late one night, years ago. If they would have just stuck to the original story and got some better Actors and Director...this could have been a really good creepfest. Why on earth would you add what they did and take away what was scary and creepy from the documentary? I don't get it.<br /><br />Save your time and money and if you want to see the really creepy version of this movie, get the documentary. I almost came close to walking out on this one when the CG came out of the guys mouth but I wanted to see how they would end it. I should have left then and saved myself some time. This movie is such a waste to watch.",-1
9,"[[u'I', u'did', u'not', u'like', u'this', u'movie', u'at', u'all', u'The', u'documentary', u'is', u'times', u'br', u'better', u'than', u'the', u'movie', u'And', u'alot', u'diffrent'], [u'I', u'didn', u't', u'think', u'br', u'the', u'movie', u'was', u'scary', u'at', u'all', u'if', u'anything', u'it', u'was', u'boring']]","I did not like this movie at all.The documentary is 10 times<br />better than the movie,And alot diffrent. I didn't think<br />the movie was scary at all if anything it was boring.",-1
