Document,Stars
 the item was very pleasing to my wife. she has bought this product before in a local store that was probably a previous model the top of the hose was not as secure as the ones i ordered from the amazon provider.the order was shipped as i was told it would be. i am satisfied with the over all purchase process. , 5.0
 hello all! well this is a real good Cd and you just hafta get it! it has Great songs on it and you'd probably really enjoy it! i got this cd for a gift from a friend and i absolutely love it! , 5.0
 Kerri is a genius at her craft not only am I getting an informative overview of the world's natural wonders but I'm also learning how to use metrics! The design of this book is great as well. Love love love it! , 5.0
 A friend gave me this book a couple of years ago and I find that I return to it again and again. It is a series of 365 short meditations on being in relationship with God. The meditations can be at times astoundingly difficult to understand. But every now and then one pops out that is so perfect I am convinced that this crazy Spanish mystic must have been on to something.If you are trying to deepen your relationship with the Divine do yourself a favor, 5.0
 This is the second set I have ordered. Love the color just wish the color was all the way trough , 4.0
 I ordered this puzzle for my 2 year old grandaughter. She loved it!It was very colorful and she could easily remove the pieces of the puzzle because of the little pegs on each piece. She recognized the different pictures and likes things that are familiar to her. I like the variety of pictures compared to all animals or all trucks etc. The puzzle board is very sturdy and should endure for many years.The shipping was prompt also. All in all it was a perfect gift for her. , 5.0
 We got this for my son when he was 16 months old. He is now 24 months old and he has long outgrown it. However it was played with multiple times every day for several months and is still in great shape. He really liked this puzzle but he LOVED the transportation theme puzzle from the same company. We used it to work on vocabulary hand-eye coordination and print recognition - I printed the name of the object on the back of each piece and sometimes we looked at them that way. This puzzle is MUCH better than any Melissa and Doug puzzle we own. , 5.0
 My son absolutely loves this puzzle. The colors on the pieces are bright vibrant and appealing. We love that it has 15 pieces since it keeps him engaged a little longer than most puzzles. , 5.0
 ____PLAY and AGE RANGE, 5.0
 I bought this for my 18 month old daughter. She plays with it almost everyday day. She prefers this one over another one that she has with basic shapes. , 5.0
 We bought it for church and are happy we did. It keeps little kids quite for a bit. Good quality. Nice color. , 5.0
 Everything about this album has 1981 written all over it. Synth pop at its extreme yet that's what was 'in' back then. Listening to it now takes some strength but it's a classic all the same. 'Misplaced Love' is the best on this album and is hard to find on CD - so worth getting for that song alone. , 3.0
 Solid recording from these TENOR TITANS. Real nice mix of tunes. The maturity and confidence of years of playing together really shine here in 1973. Jackie Byard George Duvivier and Mel Lewis are the crack rhythm section complimenting the Tenors. Rod McKuens' 'Jean' is a nice surprise with Zoot on Soprano Sax. Al tackles 'Body & Soul' alone and very nicely. 'Doodle' & 'Mama Flosie' really stand out. A well rounded set and highly recommended. , 5.0
