,aspect,document,sentiment
0,,"Most everything is fine with this machine: speed, capacity, build.",
1,,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",
2,,"Yes, I have it on the highest available setting.",
3,,"I love the size, keyboard, the functions.",
4,,I don't really have a complaint.,
5,,"It is easy to use, good quality and good price.",
6,,Perfect trifecta!,
7,,I would recommend this product.,
8,,"I love this product because it is Toshiba and its 15.6"".",
9,,"It has no camera but, I can always buy and install one easy.",
10,,"I had a USB connect but, i can't use it because it is not compatible.",
11,,That's the downside for me.,
12,,"But, I would recommend this product.",
13,,I bought this laptop Was the worst Laptop I've ever bought.,
14,,I spent alot of money on this product and its been a nightmare.,
15,,And having to deal with the company has been a even worse nightmare.,
16,,I sent it to them to fix in perfect condition but for what was wrong with it.,
17,,They sent it back with a huge crack in it and it still didn't work.,
18,,And that was the fourth time ive sent it to them to get fixed.,
19,,Its been a year and am still waiting to see what there going to do about my laptop.,
20,,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,
21,,"So far, a great product.",
22,,"High price tag, however.",
23,,Still trying to learn how to use it.,
24,,This laptop is a great price and has a sleek look.,
25,,Runs smooth and quick.,
26,,"I wish it had a webcam though, then it would be perfect!",
27,,"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked.",
28,,But as time went on I found it almost impossible to keep the thing on-line through wi-fi.,
29,,Eventually the screen went blank and the computer would not turn on.,
30,,HP said it was out of warranty.,
31,,Guess I'll stay away from HP.,
32,,Great price and computer!,
33,,"I bought this laptop computer for my parents, they only access their facebook and e-mail accounts, see family pictures, etc.",
34,,They loved it.,
35,,"It's easy to operate and it's very light (my parents are almost 60 yo, they can't carry a heavy computer while traveling).",
36,,"But here's something I hadn't realized before buying it: there isn't an optical drive, which means NO CDs or DVDs!",
37,,I have loved this since i took it out of the box.,
38,,The battery is really long.,
39,,"the features are great, the only thing it needs is better speakers.",
40,,"Waited on getting this computer, but it has been a great change.",
41,,Ease of use is just one of the benefits I love about my Mac.,
42,,It had most of the features and all of the power that I wanted to replace my desktop machine.,
43,,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,
44,,I'm very happy with this machine!,
45,,This MacBook is an outstanding product with great value.,
46,,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,
47,,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",
48,,It does run a little warm but that is a negligible concern.,
49,,"The image is great, and the soud is excelent.",
50,,i love ths notebook.,
51,,Small and light weight.,
52,,Speakers too small to be of any real use.,
53,,Keyboard good sized and wasy to use.,
54,,I like it!,
55,,This is a great machine!,
56,,"The design is awesome, quality is unprecedented.",
57,,This just keeps having it's hard drive replaced!,
58,,Acer won't replace the laptop.,
59,,the manufacturer's warranty only covers replacement/repair of parts.,
60,,This thing is a lemon.,
61,,I love the glass touchpad.,
62,,Easy learning curve.,
63,,Also the display is exceptional!,
64,,Very good quality and well made.,
65,,Great pick for portability and affordability.,
66,,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,
67,,This computer is the ideal college companion.,
68,,It's software and speed enable it to do amazing things.,
69,,It was too cheaply constructed.,
70,,"It also gave me an introduction to Windows 8, which I hope will be discontinued it the future.",
71,,"If you need an affordable, entry-level laptop, this will fit the bill.",
72,,"I dislike the weight and size, cubersome.",
73,,I dislike the quality and the placement of the speakers.,
74,,"Overall, it's ok.",
75,,"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school.",
76,,so we got a good deal on hsn for an ascer notebook and we bought it for him.,
77,,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,
78,,now he mows yards so he can earn the money for the wireless internet.,
79,,I would recomend this acer to parents and grandparents it can really help them in school.,
80,,the laptop was really good and it goes really fast just the way i thought it would of run.,
81,,i would really recommend to any person out there to get this laptop cause its really worth it.,
82,,and its really cheap and you wont regret buying it.,
83,,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",
84,,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,
85,,Its still going.,
86,,It is in the best condition and has a really high quality.,
87,,This is something i would deffinately reccomend to someone.,
88,,You will not regret buying such a great thing like this!,
89,,It can't get any better.,
90,,it is the worst computer dell ever made.,
91,,it is hard to fix and makes it a hassle to own one.,
92,,breaks easily.,
93,,only good thing is the graphics quality.,
94,,It rarely works and when it does it's incredibly slow.,
95,,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,
96,,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",
97,,The So called laptop Runs to Slow and I hate it!,
98,,Do not  buy it!,
99,,It is the worst laptop ever,
100,,The Toshiba laptop was a great purchase.,
101,,"The price was very good, and the product is top quality.",
102,,"The delivery was fast, and I would not hesitate to purchase this laptop again.",
103,,Screen broke 1 month outside warranty.,
104,,Overall build quality is cheap.,
105,,Avoid Acer.,
106,,Supper east to use.,
107,,Retina display is beautiful.,
108,,Also very quick laptop!,
109,,Con: Hate that it has no disk drive.,
110,,Extremely slow.,
111,,A masterpiece of crap.,
112,,I purchased two laptops (for my husband and 16 year old daughter).,
113,,"My husband uses it mostly for games, email and music.",
114,,"My daughter uses it for games, email, facebook, pictures and music.",
115,,They were able to set-up with labtops themselves within a few minutes.,
116,,It works fine with our wireless and they've had not problems.,
117,,It's a great product for a great price!,
118,,Both my husband and I have this model Toshiba.,
119,,I love everything about it.,
120,,The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.,
121,,I would like at least a 4 hr. battery life.,
122,,"Otherwise, all other features are a 1",
123,,The laptop was very easy to set up.,
124,,I did not have to call the support line at all.,
125,,Everything was so easy.,
126,,This is my 3rd Apple Laptop and first MacBook Pro.,
127,,"I love its solid build, light wt and excellent battery life (for now).",
128,,Excellent LED monitor and well equipped.,
129,,I love the Apple products.,
130,,Summary: Dont buy HP.,
131,,"If you buy, pray you dont have major prolems.",
132,,Awesome laptop and the perfect size to carry around in college.,
133,,I couldn't believe how long the battery lasted on a single charge.,
134,,I loaded windows 7 via Bootcamp and it works flawlessly!,
135,,Simply amazing computer!!,
136,,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",
137,,The netbook is easier for me to take to bed and carry around with me.,
138,,"The screen takes some getting use to, because it is smaller than the laptop.",
139,,I have not have any problems.,
140,,"This is the first laptop I've owned, althougth I used several at my previous job.",
141,,"The screen graphics and clarity, and sharpness are great.",
142,,I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.,
143,,This laptop serves all my needs.,
144,,Screen size is perfect for portable use in any environment.,
145,,Price and purpose is awesome!,
146,,"the key bindings take a little getting used to, but have loved the Macbook Pro.",
147,,Delivery was early too.,
148,,"I love HP,, it's the only computer/printer we will buy.",
149,,Got this for a graduation gift for my daughter for her to use at college.,
150,,This is perfect for her field.,
151,,it was easy to set up.,
152,,I like the number pad for work so that's nice,
153,,In the first moth of owning this computer its hardrive failed which had to be replaced.,
154,,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,
155,,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,
156,,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,
157,,It's fast and has excellent battery life.,
158,,The screen shows great colors.,
159,,The Toshiba Net book operates very well.,
160,,The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.,
161,,"Great product, very easy to use and great graphics.",
162,,"One drawback, I wish the keys were backlit.",
