,aspect,document,sentiment
0,,Being a PC user my whole life....,
1,LAPTOP#GENERAL,This computer is absolutely AMAZING!!!,positive
2,BATTERY#OPERATION_PERFORMANCE,10 plus hours of battery...,positive
3,CPU#OPERATION_PERFORMANCE,super fast processor and really nice graphics card..,positive
4,HARD_DISC#DESIGN_FEATURES,and plenty of storage with 250 gb(though I will upgrade this and the ram..),positive
5,LAPTOP#OPERATION_PERFORMANCE,This computer is really fast and I'm shocked as to how easy it is to get used to...,positive
6,LAPTOP#USABILITY,I've only had mine a day but I'm already used to it...,positive
7,,MACS ARE AMAZING!!!,
8,LAPTOP#PORTABILITY,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,positive
9,LAPTOP#GENERAL,the laptop was really good and it goes really fast just the way i thought it would of run.,positive
10,LAPTOP#GENERAL,i would really recommend to any person out there to get this laptop cause its really worth it.,positive
11,LAPTOP#PRICE,and its really cheap and you wont regret buying it.,positive
12,,"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",
13,LAPTOP#PORTABILITY,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",positive
14,LAPTOP#DESIGN_FEATURES,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",positive
15,LAPTOP#MISCELLANEOUS,I highly recommend this computer for students looking for a solid machine to get them through college.,positive
16,OS#DESIGN_FEATURES,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",positive
17,LAPTOP#GENERAL,Oh my goodness-I am not a happy camper.,negative
18,LAPTOP#DESIGN_FEATURES,My HP is very heavy.,negative
19,LAPTOP#PORTABILITY,Not easy to carry.,negative
20,BATTERY#QUALITY,The battery has never worked well.,negative
21,BATTERY#QUALITY,The battery gets so HOT it is scary.,negative
22,SUPPORT#QUALITY,"Yet, HP won't do anything about the problem.",negative
23,SUPPORT#QUALITY,I returned the computer to HP and they kept it for 3 months.,negative
24,SUPPORT#QUALITY,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,negative
25,LAPTOP#GENERAL,"So, you can imagine how unhappy I am with this item.",negative
26,LAPTOP#QUALITY,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,negative
27,,I did contact HP and share how unhappy I am.,
28,SUPPORT#QUALITY,"Well, they don't care a bunch.",negative
29,SUPPORT#QUALITY,"But, at the same time they (the company) would not and could not do anything about my problem.",negative
30,LAPTOP#GENERAL,I would  say if you want to buy one of these machines be careful.,negative
31,COMPANY#GENERAL,"And, if you are going to deal with HP be careful.",negative
32,COMPANY#GENERAL,"In my house, HP is a nasty word.",negative
33,LAPTOP#GENERAL,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",positive
34,LAPTOP#PORTABILITY,The netbook is easier for me to take to bed and carry around with me.,positive
35,DISPLAY#USABILITY,"The screen takes some getting use to, because it is smaller than the laptop.",neutral
36,LAPTOP#GENERAL,I have not have any problems.,positive
37,LAPTOP#GENERAL,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",positive
38,LAPTOP#QUALITY,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,positive
39,LAPTOP#QUALITY,Its still going.,positive
40,LAPTOP#QUALITY,It is in the best condition and has a really high quality.,positive
41,LAPTOP#GENERAL,This is something i would deffinately reccomend to someone.,positive
42,LAPTOP#GENERAL,You will not regret buying such a great thing like this!,positive
43,LAPTOP#GENERAL,It can't get any better.,positive
44,LAPTOP#GENERAL,"Waited on getting this computer, but it has been a great change.",positive
45,LAPTOP#USABILITY,Ease of use is just one of the benefits I love about my Mac.,positive
46,LAPTOP#GENERAL,This laptop meets every expectation and Windows 7 is great!,positive
47,LAPTOP#OPERATION_PERFORMANCE,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",positive
48,LAPTOP#CONNECTIVITY,It's even easy to hook up to other wireless networks.,positive
49,BATTERY#OPERATION_PERFORMANCE,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,neutral
50,BATTERY#OPERATION_PERFORMANCE,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,positive
51,LAPTOP#GENERAL,"Most everything is fine with this machine: speed, capacity, build.",positive
52,DISPLAY#QUALITY,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",negative
53,,"Yes, I have it on the highest available setting.",
54,LAPTOP#PRICE,I bought it for really cheap also and it's AMAZING.,positive
55,,Easy to start up and does not overheat as much as other laptops.,
56,LAPTOP#MISCELLANEOUS,Recommended to people as their first laptop.,positive
57,LAPTOP#OPERATION_PERFORMANCE,"Plain and simple, it(laptop) runs great and loads fast.",positive
58,LAPTOP#PORTABILITY,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",positive
59,,Love that it doesn't take up space like a regular computer.,
60,LAPTOP#DESIGN_FEATURES,I'm already hooked on the sleek look and dependability that this laptop has shown.,positive
61,OS#USABILITY,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",neutral
62,LAPTOP#DESIGN_FEATURES,The unibody design is edgy and durable.,positive
63,DISPLAY#DESIGN_FEATURES,The LED backlit display makes my pictures pop so much more.,positive
64,MOUSE#DESIGN_FEATURES,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,positive
65,,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",
66,LAPTOP#DESIGN_FEATURES,A key contributor that led me to Mac is the art aspect.,positive
67,SOFTWARE#MISCELLANEOUS,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,positive
68,LAPTOP#GENERAL,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,positive
69,LAPTOP#PRICE,It's more expensive but well worth it in the long run.,negative
70,LAPTOP#GENERAL,"Great product, very easy to use and great graphics.",positive
71,KEYBOARD#DESIGN_FEATURES,"One drawback, I wish the keys were backlit.",negative
72,LAPTOP#GENERAL,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",positive
73,LAPTOP#DESIGN_FEATURES,It had most of the features and all of the power that I wanted to replace my desktop machine.,positive
74,LAPTOP#DESIGN_FEATURES,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,neutral
75,LAPTOP#GENERAL,I'm very happy with this machine!,positive
76,LAPTOP#DESIGN_FEATURES,"I love the size, keyboard, the functions.",positive
77,LAPTOP#GENERAL,I don't really have a complaint.,positive
78,LAPTOP#USABILITY,"It is easy to use, good quality and good price.",positive
79,LAPTOP#GENERAL,Perfect trifecta!,positive
80,LAPTOP#GENERAL,I would recommend this product.,positive
81,SOFTWARE#GENERAL,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,negative
82,SUPPORT#QUALITY,This is my first Dell I heard their customer service was lacking and that they were working on improving it!,neutral
83,,I purchased this laptop 9 months ago!,
84,OPTICAL_DRIVES#QUALITY,The DVD burner broke after burning 3 DVD'd during that time!,negative
85,SUPPORT#QUALITY,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,negative
86,,I am currently out of town and called to inform them the broken part would be returned when I got back in town.,
87,SUPPORT#QUALITY,If this is an improvement in Customer Service then I would hate too see what it was before!,negative
88,SUPPORT#QUALITY,I spoke to 4 different people and was told they needed to transfer me to a 5th person!,negative
89,SUPPORT#QUALITY,Needless to say I told them No and have a nice day and hung up!,negative
90,LAPTOP#GENERAL,I can guarantee this will be the last Dell I will ever purchase!,negative
91,LAPTOP#QUALITY,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,negative
92,COMPANY#GENERAL,I do not recommend this company or their products!!!!,negative
93,LAPTOP#GENERAL,"So far, a great product.",positive
94,LAPTOP#PRICE,"High price tag, however.",negative
95,LAPTOP#USABILITY,Still trying to learn how to use it.,neutral
96,LAPTOP#GENERAL,it is the worst computer dell ever made.,negative
97,LAPTOP#QUALITY,it is hard to fix and makes it a hassle to own one.,negative
98,LAPTOP#QUALITY,breaks easily.,negative
99,GRAPHICS#QUALITY,only good thing is the graphics quality.,positive
100,LAPTOP#DESIGN_FEATURES,There are so many wonderful features and benefits to the new MacBook!,positive
101,,The #1 reason that is always repeated.,
102,LAPTOP#QUALITY,No Viruses!,positive
103,LAPTOP#OPERATION_PERFORMANCE,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,positive
104,COMPANY#GENERAL,I am loyal to Apple.,positive
105,,The Macbooks worth every penny.,
106,,"They're easy, fun, powerful and will last a long time.",
107,,"The great 18 month same as cash financing and Advance Protection Plan which includes accidents like spills ., which Apple doesn't offer, is why I bought my MacBook at Best Buy.",
108,LAPTOP#GENERAL,I am very Happy!,positive
109,HARD_DISC#QUALITY,This just keeps having it's hard drive replaced!,negative
110,SUPPORT#QUALITY,Acer won't replace the laptop.,negative
111,WARRANTY#GENERAL,the manufacturer's warranty only covers replacement/repair of parts.,negative
112,LAPTOP#QUALITY,This thing is a lemon.,negative
113,LAPTOP#GENERAL,This MacBook is an outstanding product with great value.,positive
114,LAPTOP#USABILITY,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,positive
115,BATTERY#OPERATION_PERFORMANCE,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",positive
116,LAPTOP#QUALITY,It does run a little warm but that is a negligible concern.,neutral
117,,I was so excited to receive the Toshiba L455 as a gift/bonus for some work I had done for a friend of mine!,
118,,I have owned it only two months!,
119,LAPTOP#GENERAL,I have had nothing but problems since the day I took it out of the box!,negative
120,SOFTWARE#GENERAL,My first problem was with the pre-loaded Norton Firewall/Security program.,negative
121,LAPTOP#CONNECTIVITY,It would not let me connect to my Wifi system where I lived.,negative
122,SUPPORT#QUALITY,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,negative
123,MOUSE#QUALITY,"Then just the other day, my left ""mouse"" button snapped!",negative
124,LAPTOP#QUALITY,"Being only 2 months old, I am not a happy camper!",negative
125,LAPTOP#GENERAL,Buyer Beware.,negative
126,LAPTOP#QUALITY,"this one, in my opinion, might be a lemon!",negative
127,LAPTOP#QUALITY,It rarely works and when it does it's incredibly slow.,negative
128,LAPTOP#QUALITY,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,negative
129,LAPTOP#GENERAL,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",negative
130,LAPTOP#PRICE,Like the price and operation.,positive
131,LAPTOP#USABILITY,"Some features arent friendly ( volume wheel, sound quality, etc.",negative
132,LAPTOP#GENERAL,"But, for the cost this is a winner.",positive
133,LAPTOP#GENERAL,I absolutely love my mac!,positive
134,LAPTOP#GENERAL,I can't imagine my life without it anymore!,positive
135,,It's perfect for everything and runs faster than an average pc!,
136,LAPTOP#GENERAL,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,positive
137,PORTS#QUALITY,Apparently they are defective since they are not securely attached.,negative
138,LAPTOP#CONNECTIVITY,I can barely use any usb devices because they will not stay connected properly.,negative
139,SUPPORT#QUALITY,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,negative
140,SUPPORT#QUALITY,I think I might rather suffer for something that is simple to fix in my opinion.,negative
141,LAPTOP#GENERAL,I bought this laptop Was the worst Laptop I've ever bought.,negative
142,LAPTOP#PRICE,I spent alot of money on this product and its been a nightmare.,negative
143,SUPPORT#QUALITY,And having to deal with the company has been a even worse nightmare.,negative
144,,I sent it to them to fix in perfect condition but for what was wrong with it.,
145,SUPPORT#QUALITY,They sent it back with a huge crack in it and it still didn't work.,negative
146,SUPPORT#QUALITY,And that was the fourth time ive sent it to them to get fixed.,negative
147,SUPPORT#QUALITY,Its been a year and am still waiting to see what there going to do about my laptop.,negative
148,COMPANY#GENERAL,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,negative
149,LAPTOP#GENERAL,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,positive
150,DISPLAY#GENERAL,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",positive
151,LAPTOP#PRICE,"A little pricey but it is well, well worth it.",negative
152,,I've been a PC user and I just finally switched and I am never going back.,
153,LAPTOP#GENERAL,It is amazing.,positive
154,HARD_DISC#QUALITY,In the first moth of owning this computer its hardrive failed which had to be replaced.,negative
155,BATTERY#QUALITY,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,negative
156,POWER_SUPPLY#QUALITY,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,negative
157,LAPTOP#GENERAL,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,negative
158,BATTERY#OPERATION_PERFORMANCE,Has a 5-6 hour battery life.,positive
159,,Much faster than my old windows laptop that died on me.,
160,LAPTOP#USABILITY,It is easy to use and lightweight.,positive
161,LAPTOP#GENERAL,Was very much worth the price i paid.,positive
162,LAPTOP#QUALITY,This netbook went bad on me after 3 days.,negative
163,DISPLAY#OPERATION_PERFORMANCE,There is a blank lighted screen when I start and that is all.,negative
164,,I am also upset with CR for giving a good rating.,
165,,I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.,
166,DISPLAY#QUALITY,"Three weeks after I bought the netbook, the screen quit working.",negative
167,DISPLAY#QUALITY,I baby my electronics so I know for a fact it was defective and not anything that I did to it.,negative
168,LAPTOP#QUALITY,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",negative
169,LAPTOP#PORTABILITY,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,positive
170,,To my mind much more usable than the toy called an IPad.,
171,LAPTOP#OPERATION_PERFORMANCE,The So called laptop Runs to Slow and I hate it!,negative
172,LAPTOP#GENERAL,Do not  buy it!,negative
173,LAPTOP#GENERAL,It is the worst laptop ever,negative
174,DISPLAY#QUALITY,"The image is great, and the soud is excelent.",positive
175,LAPTOP#GENERAL,i love ths notebook.,positive
176,MOUSE#DESIGN_FEATURES,I love the glass touchpad.,positive
177,LAPTOP#USABILITY,Easy learning curve.,positive
178,DISPLAY#GENERAL,Also the display is exceptional!,positive
179,LAPTOP#GENERAL,I have loved this since i took it out of the box.,positive
180,BATTERY#OPERATION_PERFORMANCE,The battery is really long.,positive
181,LAPTOP#DESIGN_FEATURES,"the features are great, the only thing it needs is better speakers.",positive
182,LAPTOP#DESIGN_FEATURES,Small and light weight.,positive
183,MULTIMEDIA_DEVICES#DESIGN_FEATURES,Speakers too small to be of any real use.,negative
184,KEYBOARD#DESIGN_FEATURES,Keyboard good sized and wasy to use.,positive
185,LAPTOP#GENERAL,I like it!,positive
186,LAPTOP#GENERAL,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,positive
187,LAPTOP#GENERAL,"Needless to say, not to happy with the product.",negative
188,LAPTOP#GENERAL,This is a great machine!,positive
189,LAPTOP#DESIGN_FEATURES,"The design is awesome, quality is unprecedented.",positive
190,LAPTOP#QUALITY,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",positive
191,LAPTOP#GENERAL,It is by far one of the greatest investments I have ever made.,positive
192,,Consumer Report recommended Toshiba.,
193,LAPTOP#GENERAL,"Am very glad I bought it, great netbook, low price.",positive
194,LAPTOP#QUALITY,Very good quality and well made.,positive
195,LAPTOP#PORTABILITY,Great pick for portability and affordability.,positive
