,aspect,document,sentiment
0,,"Judging from previous posts this used to be a good place, but not any longer.",
1,,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",
2,,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",
3,,The food was lousy - too sweet or too salty and the portions tiny.,
4,,"After all that, they complained to me about the small tip.",
5,,Avoid this place!,
6,,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",
7,,Saul is the best restaurant on Smith Street and in Brooklyn.,
8,,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,
9,,The wine list is interesting and has many good values.,
10,,"For the price, you cannot eat this well in Manhattan.",
11,,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",
12,,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",
13,,You can't go wrong here.,
14,,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,
15,,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",
16,,I had the duck breast special on my last visit and it was incredible.,
17,,Can't wait wait for my next visit.,
18,,We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,
19,,What's the difference between the two?,
20,,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",
21,,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",
22,,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,
23,,we love th pink pony.,
24,,THe perfect spot.,
25,,Food-awesome.,
26,,Service- friendly and attentive.,
27,,Ambiance- relaxed and stylish.,
28,,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",
29,,"i have eaten here a handful of times, for no reason besides sheer convenience.",
30,,"(i hang out, and live, in the neighborhood..)",
31,,the food is decent.,
32,,"however, it's the service that leaves a bad taste in my mouth.",
33,,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",
34,,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",
35,,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience.",
36,,the last time i walked by it looked pretty empty. hmmm.,
37,,This place has got to be the best japanese restaurant in the new york area.,
38,,I had a great experience.,
39,,Food is great.,
40,,Service is top notch.,
41,,I have been going back again and again.,
42,,I went to this restaurant with a woman that I met recently.,
43,,She lives nearby but had never gone to this establishment thinking that it might be too touristy.,
44,,Surprisingly nothing could be further from the truth.,
45,,"In the evening, this place attracted a well dressed, with it, NY crowd.",
46,,The food was well prepared and the service impecable.,
47,,I'm going back.,
48,,"The food here is rather good, but only if you like to wait for it.",
49,,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",
50,,"The service varys from day to day- sometimes they're very nice, and sometimes not.",
51,,"The kitchen however, is almost always slow.",
52,,"Also, specify if you like your food spicy- its rather bland if you don't.",
53,,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",
54,,Just went here for my girlfriends 23rd bday.,
55,,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,
56,,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,
57,,The lava cake dessert was incredible and I recommend it.,
58,,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",
59,,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",
60,,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",
61,,"However, go for the ambience, and consider the food just a companion for a trip across the world!",
62,,This has got to be one of the most overrated restaurants in Brooklyn.,
63,,The pizza is overpriced and soggy.,
64,,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",
65,,"A big disappointment, all around.",
66,,I think I've had some the best meals of my life at minnow.,
