,aspect,document,sentiment
0,RESTAURANT#GENERAL,"Judging from previous posts this used to be a good place, but not any longer.",negative
1,SERVICE#GENERAL,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",negative
2,SERVICE#GENERAL,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",negative
3,FOOD#QUALITY,The food was lousy - too sweet or too salty and the portions tiny.,negative
4,SERVICE#GENERAL,"After all that, they complained to me about the small tip.",negative
5,RESTAURANT#GENERAL,Avoid this place!,negative
6,FOOD#QUALITY,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",positive
7,RESTAURANT#GENERAL,Saul is the best restaurant on Smith Street and in Brooklyn.,positive
8,FOOD#QUALITY,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,positive
9,DRINKS#STYLE_OPTIONS,The wine list is interesting and has many good values.,positive
10,RESTAURANT#PRICES,"For the price, you cannot eat this well in Manhattan.",positive
11,RESTAURANT#GENERAL,I was very disappointed with this restaurant.,negative
12,SERVICE#GENERAL,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,negative
13,SERVICE#GENERAL,I had to ask her three times before she finally came back with the dish Ive requested.,negative
14,FOOD#QUALITY,"Food was okay, nothing great.",neutral
15,FOOD#QUALITY,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,negative
16,RESTAURANT#GENERAL,I/we will never go back to this place again.,negative
17,RESTAURANT#GENERAL,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",positive
18,SERVICE#GENERAL,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",positive
19,RESTAURANT#GENERAL,You can't go wrong here.,positive
20,RESTAURANT#GENERAL,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,positive
21,FOOD#QUALITY,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",positive
22,FOOD#QUALITY,I had the duck breast special on my last visit and it was incredible.,positive
23,RESTAURANT#GENERAL,Can't wait wait for my next visit.,positive
24,,"I had my eyes on this place, promising myself I will one day 'give it a try.'",
25,RESTAURANT#GENERAL,And I hate to say this but I doubt I'll ever go back.,negative
26,FOOD#QUALITY,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",negative
27,FOOD#QUALITY,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,positive
