,aspect,document,sentiment
0,,"Most everything is fine with this machine: speed, capacity, build.",
1,,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",
2,,"Yes, I have it on the highest available setting.",
3,,"I love the size, keyboard, the functions.",
4,,I don't really have a complaint.,
5,,"It is easy to use, good quality and good price.",
6,,Perfect trifecta!,
7,,I would recommend this product.,
8,,"I love this product because it is Toshiba and its 15.6"".",
9,,"It has no camera but, I can always buy and install one easy.",
10,,"I had a USB connect but, i can't use it because it is not compatible.",
11,,That's the downside for me.,
12,,"But, I would recommend this product.",
13,,I bought this laptop Was the worst Laptop I've ever bought.,
14,,I spent alot of money on this product and its been a nightmare.,
15,,And having to deal with the company has been a even worse nightmare.,
16,,I sent it to them to fix in perfect condition but for what was wrong with it.,
17,,They sent it back with a huge crack in it and it still didn't work.,
18,,And that was the fourth time ive sent it to them to get fixed.,
19,,Its been a year and am still waiting to see what there going to do about my laptop.,
20,,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,
21,,"So far, a great product.",
22,,"High price tag, however.",
23,,Still trying to learn how to use it.,
24,,"Okay, let's just start out by saying I am in no way a computer techy.",
25,,"I am a wife, mom and a school teacher and a college student.",
26,,"Trying to balance all of my roles leaves very little time for me to do anything, so I want to manage my time I do have to be the most efficient.",
27,,I work on a PC at home and have used Pc all through college.,
28,,"I use the computer to basically check emails, surf the web, print coupons and for my college papers.",
29,,I was getting extrememly frustrated when I would want to do these simple taks that I would have to wait and wait and wait for things to download or virus that would clog up my PC.,
30,,It would take up too much time to do reaearch for my papers and I would be up hours-just because the computer was too slow.,
31,,My brother is a computer wiz and would laugh at me because he used an Apple.,
32,,"Finally, I couldn't take it anymore and ordered my Apple.",
33,,"Yes, I thought the expese was a little much, but I now realize you get what you pay for.",
34,,"I love my Apple, it is quick and easy to use.",
35,,"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",
36,,I can't say enough of how satisfied I am with their product and help aftermarket.,
37,,Money and time well spent!,
38,,Highly recommended!,
39,,This laptop is a great price and has a sleek look.,
40,,Runs smooth and quick.,
41,,"I wish it had a webcam though, then it would be perfect!",
42,,"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked.",
43,,But as time went on I found it almost impossible to keep the thing on-line through wi-fi.,
44,,Eventually the screen went blank and the computer would not turn on.,
45,,HP said it was out of warranty.,
46,,Guess I'll stay away from HP.,
47,,Great price and computer!,
48,,"I bought this laptop computer for my parents, they only access their facebook and e-mail accounts, see family pictures, etc.",
49,,They loved it.,
50,,"It's easy to operate and it's very light (my parents are almost 60 yo, they can't carry a heavy computer while traveling).",
51,,"But here's something I hadn't realized before buying it: there isn't an optical drive, which means NO CDs or DVDs!",
52,,I have loved this since i took it out of the box.,
53,,The battery is really long.,
54,,"the features are great, the only thing it needs is better speakers.",
