,aspect,document,sentiment
0,,Just went here for my girlfriends 23rd bday.,
1,,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,
2,,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,
3,,The lava cake dessert was incredible and I recommend it.,
4,,Pizza here is consistently good.,
5,,Salads are a delicious way to begin the meal.,
6,,You should pass on the calamari.,
7,,It is thick and slightly soggy.,
8,,Decor is charming.,
9,,Service is average.,
10,,sometimes i get good food and ok service.,
11,,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",
12,,it is not consistent.,
13,,really depends on your luck!,
14,,I started out with a Bombay beer which was big enough for two.,
15,,For dinner I had the chicken tikka-masala and some garlic naan.,
16,,MMmmm... it was delicious.,
17,,"Service was slow, but the people were friendly.",
18,,It's a nice place to relax and have conversation.,
19,,I can't wait to go back.,
20,,"I went here with a friend on a whim, we went someplace else first and couldn't get a table.",
21,,"Service here was great, food was fantastic.",
22,,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",
23,,Will absolutely visit again.,
24,,Maybe tomorrow ;-),
25,,Molto bene!,
26,,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,
27,,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",
28,,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",
29,,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",
30,,A guaranteeed delight!,
31,,this little place has a cute interior decor and affordable city prices.,
32,,"the pad se ew chicken was delicious, however the pad thai was far too oily.",
33,,i would just ask for no oil next time.,
34,,I was very disappointed with this restaurant.,
35,,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,
36,,I had to ask her three times before she finally came back with the dish Ive requested.,
37,,"Food was okay, nothing great.",
38,,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,
39,,I/we will never go back to this place again.,
40,,"Excellent food, although the interior could use some help.",
41,,"The space kind of feels like an Alice in Wonderland setting, without it trying to be that.",
42,,"I paid just about $60 for a good meal, though :)",
43,,Great sake!,
44,,Way below average,
45,,I think the pizza is so overrated and was under cooked.,
46,,Had no flavor and the staff is rude and not attentive.,
47,,Would NEVER go back,
